Model_Scenario,Category,Demand_GrowthRate,Demand_Growth,Renewables_GrowthRate,Renewables_Growth,TFC_GrowthRate,TFC_Growth,shares_2024_2050
POLES ADVANCE_ADVANCE_2020_1.5C-2100,C1,2.143165660868118,19137.53782330543,5.995252440465415,33796.02244107875,2.143165660868118,19137.53782330543,1.7659545733162403
POLES ADVANCE_ADVANCE_2020_Med2C,C3,2.0527415508811986,18771.650560915918,5.376390128483699,25147.602314198208,2.0527415508811986,18771.650560915918,1.3396585575994864
POLES ADVANCE_ADVANCE_2020_WB2C,C2,2.0260570937390865,18311.453027058236,5.882684497956703,30295.39695136818,2.0260570937390865,18311.453027058236,1.6544507367384589
POLES ADVANCE_ADVANCE_2030_1.5C-2100,C2,1.7663037313931929,15616.175654116807,6.365565404636242,34229.903035549054,1.7663037313931929,15616.175654116807,2.1919517168420946
POLES ADVANCE_ADVANCE_2030_Med2C,C3,2.0030709517921963,18274.390485792126,5.573115269137774,26659.555419710083,2.0030709517921963,18274.390485792126,1.458847858178209
POLES ADVANCE_ADVANCE_2030_Price1.5C,C2,1.8898819550418722,16983.735216630124,6.3192454608532955,33746.76649887244,1.8898819550418722,16983.735216630124,1.987004982615856
POLES ADVANCE_ADVANCE_2030_WB2C,C2,1.9416428932781615,17569.503764365316,5.993488756777876,30498.612495350633,1.9416428932781615,17569.503764365316,1.7358835459660673
POLES EMF30_EMF30_D_CO2-Only,C4,2.2322405902966302,18838.118647116586,4.746965386380664,23130.773340861968,2.230918720781472,18823.167731709906,1.2278706687306287
POLES EMF30_EMF30_Slower-to-faster,C2,1.9294200014836616,16501.641694658727,5.13873577933206,23358.505622540586,1.9282320221864602,16488.409946778364,1.415526167320752
POLES ENGAGE_EN_INDCi2030_1000,C4,1.7478015348619147,14511.617027819295,5.49519543494601,29524.11540907861,1.7353765186649994,14383.770255432122,2.0345158883727303
POLES ENGAGE_EN_INDCi2030_1000_COV,C4,1.855626103663699,14820.064464167812,5.416587880173762,27480.510797109608,1.835544278469614,14619.634900817866,1.854277413134904
POLES ENGAGE_EN_INDCi2030_1000_COV_NDCp,C4,1.8831449865301275,15024.34183014905,5.397194400492911,27470.721514091478,1.8630307916423838,14822.88509033203,1.828414304243699
POLES ENGAGE_EN_INDCi2030_1000_NDCp,C4,1.8547436719467125,15744.100064917639,5.489191604374399,29609.03561488153,1.8424588584206703,15613.055602111814,1.8806432563814135
POLES ENGAGE_EN_INDCi2030_1000f,C4,1.9536080195800443,16669.879127486696,5.460412164581019,29188.55044363977,1.9380568708045276,16501.808744201655,1.7509755302011303
POLES ENGAGE_EN_INDCi2030_1000f_COV,C4,1.937993184634812,15648.389843070585,5.318859881627125,26603.134151258477,1.919510510888367,15459.999399719236,1.700055687393222
POLES ENGAGE_EN_INDCi2030_1000f_COV_NDCp,C4,1.9671879517813906,15871.440193302184,5.256952292710881,26216.144714698778,1.9485901257409344,15681.108039550778,1.6517810857367627
POLES ENGAGE_EN_INDCi2030_1000f_NDCp,C4,1.9578297670047151,16848.652628286927,5.362576452991097,28396.585715017336,1.945088204390144,16709.254164733906,1.6853920809871035
POLES ENGAGE_EN_INDCi2030_1200,C4,1.9992475827859346,17163.43731132763,5.423735913342775,28837.707453146,1.9850245110990317,17007.843384704596,1.6801825257993928
POLES ENGAGE_EN_INDCi2030_1200f,C4,2.0619131097896926,17850.176056055396,5.299285913130425,27669.720876874922,2.04725083404389,17687.31227508546,1.5501091300154655
POLES ENGAGE_EN_INDCi2030_300f,C2,1.4108105665591397,11205.116293309293,5.455771143695998,29143.98591650964,1.402391075409537,11125.190158996593,2.6009534531927936
POLES ENGAGE_EN_INDCi2030_400f,C2,1.4744937658031088,11809.125925839107,5.472602351063216,29305.83818987847,1.4638526017596076,11706.719458923348,2.4816263603181214
POLES ENGAGE_EN_INDCi2030_500f,C3,1.5265604524060006,12310.047889185109,5.446751986861376,29057.521270551686,1.5142920352496425,12190.584696350095,2.360471830177032
POLES ENGAGE_EN_INDCi2030_600f,C3,1.5966620338870419,12994.703827039557,5.468837022616313,29269.57394236566,1.5856963352097075,12885.923996887213,2.252423320450069
POLES ENGAGE_EN_INDCi2030_600f_COV,C3,1.6334135419399098,12667.175708059523,5.521495690143441,28445.25311831476,1.6175510604943932,12517.08532196044,2.2455876332572218
POLES ENGAGE_EN_INDCi2030_600f_COV_NDCp,C3,1.7148795746464662,13379.958825626734,5.612809369005789,29482.821888885504,1.6984156735755596,13221.529337768556,2.2035061746540534
POLES ENGAGE_EN_INDCi2030_600f_NDCp,C3,1.6430011514313891,13561.139009760078,5.463841673399705,29363.365088567738,1.6338560778438538,13468.299379577653,2.16525802644119
POLES ENGAGE_EN_INDCi2030_700f,C3,1.7078444110882662,14105.089937635406,5.504603543324449,29615.354636564265,1.6959300826161705,13983.665516052235,2.0996218221582654
POLES ENGAGE_EN_INDCi2030_800f,C4,1.8068443277589274,15119.676370986446,5.529662921907907,29859.37358473778,1.7925211875378544,14970.309925231923,1.974868565443354
POLES ENGAGE_EN_INDCi2030_900,C3,1.559429491569797,12629.596693790096,5.495066073445143,29522.862286748885,1.5506620679330396,12543.230805358871,2.337593432517534
POLES ENGAGE_EN_INDCi2030_900f,C4,1.9000851871419533,16098.062704003001,5.49197772369161,29492.95690649987,1.8848121329418932,15935.149476013183,1.832081129809865
