Ren_scenarios,Dem_scenarios,Region,Fuel type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
50.0,All_1.0,Asia,Coal,7866392.253585203,7875524.555910766,7768242.839397437,7657468.982131728,7540534.040438946,7415049.693648121,7278743.505827769,6920745.384606248,6492391.805016078,5954898.836425494,5241775.707371149,4226203.887029491,3915283.71113619,3532668.12481538,3051217.5491387676,2428466.799005015,1593958.2432436114,1504257.1106220689,1404958.519775672,1294083.9921209167,1169118.792888453,1026813.9553045977,956332.1876551681,880248.3432369125,797694.7334336826,707623.8174428164,608760.9286751135
50.0,All_1.0,Asia,Oil,87894.2283863175,80802.64365546053,74817.01976202612,68428.88654479242,61562.77041461038,54141.84887427652,46084.486468312665,43591.984943815136,40595.939266924855,36822.515280135536,31801.36399220263,24634.59465618698,24589.803539308912,24526.468193314417,24435.98389484142,24305.1024858882,24112.025124626147,22552.151118407648,20823.604685718183,18891.798954555135,16712.76344783044,14229.680400476049,12143.656080080036,9884.776151185211,7426.59447375449,4737.21694643377,1777.8576692245722
50.0,All_1.0,Asia,Gas,1263005.5689595612,1381911.7576335408,1518834.915460205,1666836.320263517,1826980.937601624,2000517.7796859036,2188907.5549779315,2473605.2624667413,2838060.912903646,3319731.2375858235,3984378.5386364656,4958802.938792387,5289782.449925037,5693848.752682588,6198044.192774783,6844766.691614466,7704434.04453056,7772327.435680573,7851872.478690678,7945015.760697648,8054253.757805981,8182834.436167795,8224114.1612292575,8272508.568592458,8328941.9192896085,8394511.721648496,8470540.713937668
50.0,All_1.25,Asia,Coal,7866392.253585203,7891509.864143171,7799835.310492052,7704318.765475576,7602280.089041828,7491287.815109465,7368998.111209115,7021305.648202633,6600772.498115964,6067399.012468517,5352523.920833768,4325110.092962916,4016040.6683429433,3631941.468220375,3144294.568522754,2508471.0355830793,1650416.0426052895,1561428.6778820415,1462055.1746849606,1350142.2042791643,1222951.0522148188,1076941.5983735796,1005951.5068042635,928674.9413960016,844126.9724030525,751118.1742784366,648200.736764184
50.0,All_1.25,Asia,Oil,87894.2283863175,80966.6524342607,75121.29121479655,68847.54687715093,62066.88030838752,54698.51039660652,46655.92261482193,44225.388031637165,41273.627269579105,37518.167643870525,32473.263066949046,25211.120152183303,25222.60411411416,25215.699225905068,25181.400604734466,25105.818052653125,24966.07000469759,23409.279740515285,21669.863243513708,19710.16969423928,17482.305278358224,14924.353799114417,12773.729975377611,10428.584141559535,7858.881907632401,5028.391719239644,1893.0397743516253
50.0,All_1.25,Asia,Gas,1263005.5689595612,1384716.6864022764,1525011.8269131805,1677034.3270274,1841941.2644385176,2021086.1809474512,2216049.4631153187,2509547.4021357344,2885438.0611161957,3382447.7267996194,4068560.470399069,5074854.2221090095,5425911.124949065,5853854.55638392,6387114.775315362,7070263.014620382,7977324.123881848,8067726.498525477,8170967.77367428,8289184.595043442,8425113.143189186,8582309.143138556,8650822.527372604,8727618.142267654,8813753.22034179,8910483.455897931,9019321.8272319
50.0,All_1.5,Asia,Coal,7866392.253585203,7907495.1723755775,7831505.884111002,7751400.477967444,7664485.213731973,7568282.635536723,7460373.875764569,7123366.780527415,6711042.715143968,6182143.500439618,5465760.745683159,4426488.816684475,4119571.723988287,3734200.239000621,3240407.6953247646,2591289.1889555394,1709004.0625305243,1620904.0665280856,1521599.471550184,1408748.0669308444,1279368.9293227962,1129606.797446246,1058211.5249975494,979804.8513129038,893272.3866439993,797267.84374266,690151.7815302158
50.0,All_1.5,Asia,Oil,87894.2283863175,81130.6612130609,75426.31488376665,69268.27978118989,62574.73821200209,55260.69704455921,47234.457245396006,44868.24470333999,41963.13017819298,38227.69786053553,33160.260314712395,25802.057984905226,25872.82731793851,25925.657365310028,25951.132287511293,25934.69646525254,25852.339023617842,24300.947755976373,22552.399547438497,20565.73253368005,18288.808980180387,15654.192877712821,13437.33588122298,11002.749055406826,8316.429195479115,5337.3425923861705,2015.5558281193871
50.0,All_1.5,Asia,Gas,1263005.5689595612,1387521.6151710122,1531204.008851824,1687282.8188704322,1857012.8199040256,2041858.733198908,2243528.5329873613,2546025.9806676707,2933641.1890547764,3446415.3728540577,4154634.045443264,5193806.62633739,5565787.772870456,6018672.182576413,6582352.708314525,7303690.516242843,8260510.673609191,8375029.147558826,8503742.171806466,8648994.704179985,8813785.279389909,9002006.01454659,9100239.959136885,9208133.23911356,9326893.502778297,9457955.052695807,9603045.282441586
50.0,All_1.75,Asia,Coal,7866392.253585203,7923480.480607983,7863254.5602543,7798714.692271903,7727151.684348295,7646039.773947327,7552881.913716521,7226947.4024768425,6823230.622269274,6299171.37919861,5581535.7662443,4530395.548382104,4225946.139792727,3839526.530504283,3339648.1190240835,2677012.931556657,1769797.1328547953,1682770.092703231,1583689.9172946373,1470010.6553546747,1338489.7823721978,1184931.278932654,1113245.7491673962,1033781.7574794027,945282.2398752349,846227.7851661806,734767.1764203376
