Ren_scenarios,Dem_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
50.0,All_2.0,Mideast+Africa,1844464.766337048,1902083.4662354086,1938153.8122461152,1975522.1813087324,2014054.260771009,2053658.299682517,2094272.1718189486,2143703.8186668386,2196320.1662719017,2251595.201268897,2309154.2602052703,2368727.649432659,2435757.619981234,2504848.4332379983,2575730.500259409,2648213.370956076,2722164.067086723,2847754.6191426623,2974156.0939118024,3101382.9415809624,3229471.9328803807,3358475.7253649025,3471244.140902844,3584519.1080080466,3698381.722764437,3812917.524701555,3928214.5373756085
50.0,All_2.0,OECD+EU,4447851.994881822,4384907.58614605,4427384.3161245575,4467969.708868297,4507625.680744618,4547044.647335697,4586732.822499971,4731585.313982435,4870718.391512668,5005827.3628178,5138178.714956484,5268739.656248503,5355351.380190788,5443162.135541011,5532465.2204604875,5623477.802313341,5716362.760603234,5786057.818518128,5858304.393996649,5933128.365978213,6010541.75675286,6090547.441092995,6178299.253517935,6268703.217203531,6361778.391024031,6457544.970668332,6556024.674023217
50.0,All_2.25,Asia,9217292.050931081,9433010.186099475,9553204.296883542,9682918.333494391,9820899.120629689,9966260.931608824,10118375.298021322,10144344.47094184,10180908.560643258,10226723.265113663,10280802.749391109,10342413.306752007,10484294.174110377,10631241.718790071,10783250.356872097,10940340.218583008,11102551.243899161,11214156.586518621,11331104.053581532,11453441.159739325,11581219.807197621,11714496.702251093,11844355.102903478,11979771.05710829,12120901.47025836,12267892.42234027,12420882.574938329
50.0,All_2.25,E. Europe+Russia,968383.7893453389,989065.7155258473,990837.4787263579,993471.8572245537,996930.7202854012,1001180.3679275345,1006191.1945123896,1010717.3990214276,1016485.1948341089,1023350.5267810256,1031206.5826416059,1039972.8931696112,1041544.4609202782,1044159.3777377435,1047745.4636829604,1052246.2810673437,1057617.5133262943,1078970.6327898018,1101158.0616733367,1124156.5730536035,1147949.05235139,1172523.3462880005,1187633.8660005513,1203740.8176243124,1220800.5406467323,1238776.845745898,1257639.8353757372
50.0,All_2.25,Latin America,553802.0209931645,583903.5281036862,632226.1550822806,677616.2371978156,720723.7078387291,762046.0290999659,801971.8799758982,849122.9543258469,894281.4583712155,937953.4955310908,980523.7232990367,1022291.4656546505,1071984.9241958153,1120795.995785291,1168960.1083833126,1216672.427963926,1264097.2732586793,1324245.2046094313,1384185.0217955194,1444054.6212215708,1503977.2954584234,1564064.275526234,1596746.7325761488,1630003.0279492051,1663845.42355732,1698288.4620682662,1733348.4439805262
50.0,All_2.25,Mideast+Africa,1844464.766337048,1906507.4063099609,1947176.0771881263,1989333.4144520964,2032858.5302183488,2077671.2608424597,2123719.871799541,2178745.5824917434,2237258.420340577,2298751.4352193563,2362866.114306948,2429347.0580575946,2503554.383696631,2580233.6568691186,2659126.136121646,2740051.8432427137,2822888.1887171995,2959612.7748041376,3097834.4261285313,3237578.793646491,3378894.844232172,3521848.438534801,3647780.792918905,3774851.3934665266,3903153.88006541,4032787.2797934515,4163854.017306253
50.0,All_2.25,OECD+EU,4447851.994881822,4394710.739359568,4447444.277120261,4498688.579654658,4549373.519612186,4600172.608593889,4651582.215695198,4810508.548046086,4964429.874317793,5115022.734723536,5263545.183164997,5410963.332476049,5513063.645542273,5616770.221898008,5722393.520525299,5830168.753841162,5940277.479021084,6026642.700493549,6115943.478283361,6208225.998479849,6303522.500666319,6401856.010761868,6510644.934345804,6622792.688009616,6738341.685324041,6857335.911235055,6979821.339427175
50.0,All_2.5,Asia,9217292.050931081,9451964.431879418,9591748.577014934,9741814.242294127,9901008.322839264,10068528.106155226,10243816.693965917,10291970.543132348,10351392.292837353,10420802.531221773,10499272.653217316,10586121.078272946,10756179.773447296,10932503.980507696,11115130.870128691,11304124.255785044,11499568.823578915,11644352.315933103,11795711.42455083,11953740.09582293,12118537.636738343,12290209.202427024,12461691.34523913,12640276.761084441,12826177.78777397,13019597.322918957,13220732.28762824
50.0,All_2.5,E. Europe+Russia,968383.7893453389,991736.9108048418,996216.7102215705,1001602.1957342821,1007861.1854377384,1014965.6804089586,1022891.5635867189,1030340.9885573003,1039106.5259412974,1049051.7922027686,1060076.8198982058,1072107.4247847535,1076992.8044465887,1083030.2984102701,1090153.850306009,1098312.9474081886,1107469.0740039884,1132839.5241185166,1159197.7653276674,1186526.4932208953,1214814.5813228972,1244055.9536682535,1263287.8181139936,1283653.793244646,1305115.8002785333,1327643.2601217164,1351211.9358826762
50.0,All_2.5,Latin America,553802.0209931645,584028.7892635261,632813.7610986725,678962.761342873,723096.6885540425,765692.0128268716,807122.217999175,856158.2286934259,903426.23395411,949424.9511192038,994534.8147248484,1039053.2290433235,1091928.9060330342,1144152.2997363908,1195960.0927458312,1247549.7993690665,1299088.9993789615,1364131.967408996,1429272.0422315996,1494652.9097696966,1560404.3804195332,1626644.876058885,1663973.3865938494,1702082.7644025767,1740991.3686215712,1780720.0958254032,1821291.8598325877
