Dem_scenarios,Ren_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
All_2.0,50.0,Mideast+Africa,245722.47244602663,261404.4702645178,280344.4274144833,298555.3972366765,316233.37354017,333527.4462173995,350553.41693399707,391587.1301113757,430019.50983694015,466475.2978984781,501422.2139312873,535218.0665940293,591280.8566047347,645073.6184359646,697086.9995803251,747712.6174739372,797267.583941717,865405.5899102028,932133.6168765692,997771.3179870306,1062588.1483916524,1126813.542200069,1228526.403391446,1328958.6817761275,1428434.3629876906,1527236.0215153531,1625612.0344297648
All_2.0,50.0,OECD+EU,3484255.9983094623,3561443.466746051,3602874.0855595185,3652305.1753821997,3708533.4831169555,3770660.7260884377,3838005.4697123887,3867272.6821511937,3906569.0622454192,3954227.4939374607,4009015.3402664512,4070004.4519610414,4143009.1251376737,4220994.5088241305,4303503.725961934,4390183.755892906,4480759.995620384,4567199.4759292295,4657510.049004895,4751500.375033388,4849019.011389787,4949946.571864175,5060611.896976198,5174408.144037792,5291301.155815385,5411269.349098443,5534301.74000422
All_2.0,50.0,E. Europe+Russia,277853.67023821763,282188.39870038506,290571.91373450845,299167.06828336883,307969.7372506233,316977.730287972,326190.25283570355,343043.9102540871,359432.6646365348,375505.8242814614,391375.95592651336,407129.9268053477,424391.039095715,441523.46258087025,458599.53289932356,475677.82226252573,492806.56810333446,511483.76880867034,530221.9154484192,549061.4437912793,568037.2182561167,587179.681019266,612385.0611345747,637647.22222814,663014.4769096506,688529.641329305,714231.0104828165
All_2.25,50.0,Asia,4110455.5378154577,4302788.778683883,4549846.812134657,4793017.560177882,5034004.412101597,5274117.8066029465,5514389.728330261,5769492.230712682,6022523.419548611,6274977.177241177,6527995.951683871,6782476.84924251,7007428.895914335,7236575.687186479,7470148.251149005,7708355.144806722,7951388.675776861,8183447.21315506,8421218.733947577,8664770.152767854,8914179.878397254,9169536.102734465,9356950.67856293,9552054.23204428,9754652.736458678,9964597.831256075,10181779.466443632
All_2.25,50.0,Latin America,995978.1151765023,1014532.6097302401,1013880.7090763735,1016775.8500569292,1022622.5883928956,1030974.6980178274,1041492.023128062,1051503.6976402707,1064382.6195884119,1079672.2572801406,1097036.0429244349,1116221.513078602,1136222.6751325296,1157884.7149714655,1181054.090915386,1205612.4638336427,1231468.0903560591,1260748.9604197382,1291142.0119623942,1322615.4427902305,1355145.9455646898,1388717.0827190543,1443490.2997592688,1498882.920813086,1554973.6798412337,1611834.2494206205,1669530.5618643607
All_2.25,50.0,Mideast+Africa,245722.47244602663,262404.7540756953,282469.19216171675,301917.8577166385,320939.2270245639,339677.29129012005,358244.49048282875,401528.56408568984,442397.7622879958,481466.07344477606,519194.25237017754,555935.830320954,616076.8490308895,674183.7209331355,730744.7465015543,786151.0705542527,840720.7892308669,915226.2017057657,988629.3834718304,1061253.8159957954,1133373.8095764439,1205224.528380482,1317639.1627315348,1429251.2665450808,1540394.9820512037,1651363.9594094295,1762418.4900249385
All_2.25,50.0,OECD+EU,3484255.9983094623,3575071.5972849247,3630180.709473252,3693439.0216521034,3763719.98989879,3840187.176011005,3922210.560641325,3965453.2225058777,4019020.9323670655,4081301.611447361,4151107.9176389403,4227550.311987511,4316750.625037233,4411474.446741578,4511291.619539346,4615874.573957422,4724973.34113041,4830128.9909867635,4939797.476343229,5053811.242923683,5172042.581093989,5294395.921915836,5427689.958012496,5564905.436791468,5706033.094787704,5851076.7503320435,6000051.371040734
All_2.25,50.0,E. Europe+Russia,277853.67023821763,283268.2137725469,292774.1938530516,302536.4176681716,312552.61996443843,322822.4184984379,333346.8033192601,351752.9512869514,369779.05162654305,387573.1803740365,405247.5961122363,422889.52491344226,442188.3292897046,461447.9996930802,480742.28843172063,500131.49500400806,519665.8376923023,540929.4236353191,562358.1811473665,583995.0917964051,605877.740129704,628039.4471913398,656805.2074380667,685768.5739036741,714981.520832911,744490.7130648667,774338.4721346914
All_2.5,50.0,Asia,4110455.5378154577,4319190.958489637,4584155.047773078,4846659.082804615,5108360.190336578,5370543.964444161,5634233.126932145,5914449.912550368,6193941.965168543,6474212.02140827,6756421.046172622,7041491.8609712655,7297153.611282266,7558342.059788343,7825331.491531454,8098375.56323488,8377713.459968573,8646687.469772711,8922877.683877822,9206402.810102781,9497394.484922836,9795995.636097675,10023107.171289325,10259376.56164956,10504662.95717519,10758872.125776006,11021949.234646412
All_2.5,50.0,Latin America,995978.1151765023,1018399.9960091193,1021525.9023570502,1028155.1959663397,1037727.4417414211,1049823.9032511471,1064126.611870888,1077922.5803354052,1094678.0469238616,1113952.5945395208,1135423.1013137617,1158848.7324157727,1183200.2179712867,1209368.784334162,1237209.6858212503,1266612.9585920337,1297494.9680836448,1332116.1552879885,1368056.4071817966,1405291.8097659717,1443807.0361202632,1483593.753236144,1546257.8004553278,1609874.0577560114,1674531.6163802936,1740312.9429937706,1807295.19424438
All_2.5,50.0,Mideast+Africa,245722.47244602663,263405.03788687295,284599.1582914406,305296.8008130874,325679.72465586854,345887.5765560296,366030.1638546785,411616.91285434505,454989.69024144555,496752.9526484843,537361.6956457946,577166.3820517864,641548.7720973247,704160.5580076086,765489.4768909347,825928.03512391,885797.2058983388,967034.3956731973,1047522.8517513531,1127592.5317759272,1207525.3489682397,1287565.0510839124,1411446.8478928066,1535086.2326042724,1658831.9999227652,1782993.551096646,1907847.9544049744
All_2.5,50.0,OECD+EU,3484255.9983094623,3588699.727823801,3657554.179467558,3734774.5040205535,3819312.775680765,3910396.9264094993,4007451.370010413,4065084.677681479,4133413.9658264616,4210885.746590481,4296361.870818106,4388995.609624706,4495228.261375784,4607625.8022877155,4725790.063461353,4849424.442759153,4978309.371112898,5103548.020278505,5234065.288775264,5369723.744341795,5510426.01288633,5656107.219142136,5814107.609472339,5976982.43949312,6144755.339080648,6317463.847609017,6495157.534577867
