Dem_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
All_0.5,Asia,14021785.64034378,14213283.085449656,14375162.342447935,14532685.496548016,14686282.876802508,14836335.149214916,14983180.316661483,15038615.843148159,15095189.066913253,15152845.799179345,15211537.081653418,15271218.591526119,15351882.204527633,15432711.153095314,15513726.547262838,15594947.33662995,15676390.608807463,15716977.318550363,15759685.195232462,15804373.50228134,15850916.495759986,15899201.50597501,15906204.160120701,15917215.559258161,15931919.484648945,15950035.444238093,15971313.793637594
All_0.5,Latin America,1583568.1885069385,1605044.2703652252,1624485.1008589233,1643373.8075171337,1661764.4620586827,1679704.8932057386,1697237.5666069454,1719522.049655605,1741308.43379072,1762636.640645754,1783542.8947031188,1804060.1447821702,1829331.3653131635,1853831.1087470308,1877632.040427331,1900798.6401782916,1923388.3280695537,1957136.220838473,1989828.1276254938,2021555.3953751712,2052399.8062123226,2082434.8023058868,2106721.4928750503,2130369.0836345553,2153438.7364215553,2175984.7785398895,2198055.6365719954
All_0.5,Mideast+Africa,2136131.1554832133,2180538.002063327,2204901.5739298863,2228621.299097435,2251760.9730119384,2274377.0297788396,2296519.5797381424,2346275.679011965,2394589.8777921484,2441572.608691809,2487324.0477156686,2531935.283369535,2600062.6025597826,2665466.073886839,2728393.2655056487,2789063.8044888563,2847673.2192759546,2957658.1193605317,3063333.4912081603,3165061.1822734773,3263165.0858300407,3357936.000957326,3465616.6638733675,3568853.5301492335,3668045.9811883434,3763548.619419232,3855677.3855995885
All_0.5,OECD+EU,9533311.222630475,9419376.068462059,9369191.66181777,9324289.762111051,9284212.469308175,9248555.099242821,9216958.68517866,9237544.214479417,9259359.06748574,9282331.013158781,9306394.660519654,9331490.679777758,9307429.386693997,9287154.866817398,9270353.051849216,9256745.504962018,9246084.521889314,9211001.964096274,9179870.89575022,9152385.475066606,9128272.100233166,9107285.282090435,9124562.190967623,9143474.533177823,9163899.403318934,9185727.82486111,9208862.84820699
All_0.5,E. Europe+Russia,1507440.1985133437,1507906.161164871,1497037.6463881424,1487161.851796231,1478192.0969739123,1470051.7711036708,1462672.9140734817,1462894.1212748638,1463429.7211259946,1464259.4862676957,1465365.0910912473,1466729.8951059352,1468756.2084397457,1471085.8738254043,1473695.416708811,1476564.0371034998,1479673.2419371384,1486302.3467336707,1493003.6396108633,1499774.4011777388,1506612.217919689,1513514.9431563187,1517069.8893206578,1520862.5629234149,1524875.5399111232,1529093.3741580115,1533502.3274062502
All_0.75,Asia,14021785.64034378,14248639.511035353,14446769.516067846,14641408.380364548,14832961.2188374,15021787.034834962,15208205.22602333,15302444.637667254,15398219.330378892,15495483.83202727,15594197.52830307,15694324.114686977,15816469.42216394,15939296.06457157,16062828.957803182,16187091.00482861,16312103.379746689,16395018.39931684,16480463.172377056,16568307.750209736,16658436.558062254,16750746.561205028,16799811.14667605,16853260.669132847,16910791.551485103,16972135.051648658,17037052.510684077
All_0.75,Latin America,1583568.1885069385,1609036.9178039448,1632577.1685440768,1655668.3238736778,1678361.231860269,1700700.9435508742,1722727.5307880845,1749688.3518100907,1776264.5480286744,1802493.5994758399,1828409.584837218,1854043.5699290845,1884691.6109053956,1914683.8557984252,1944090.1075052465,1972972.393318097,2001386.035203892,2041568.4072244829,2080834.0249469192,2119271.0941587132,2156958.6826548977,2193967.8914409652,2225076.6344165737,2255649.8876508377,2285748.0309015517,2315424.793933738,2344728.1661074315
All_0.75,Mideast+Africa,2136131.1554832133,2185962.225949057,2215884.8773568664,2245294.2075306615,2274250.296481389,2302806.3894920917,2331009.861464488,2387437.3850133345,2442660.372195561,2496781.7520292825,2549895.01118584,2602085.271483381,2678747.146520601,2752961.0630490063,2824963.7003671243,2894965.1862877537,2963152.7501277984,3085253.5002752845,3203436.754043655,3318050.3933661166,3429406.0267949956,3537783.6364703095,3660314.2317144913,3778727.4168424457,3893414.164495793,4004721.849399018,4112960.206748027
All_0.75,OECD+EU,9533311.222630475,9442807.352214454,9415862.531893784,9394047.25274955,9376937.96721131,9364160.601893269,9355383.58889672,9399602.357319294,9445237.230740633,9492224.235906698,9540505.724929279,9590029.657677587,9589096.003497196,9592009.4370482,9598473.64826572,9608226.21987376,9621033.970293986,9608370.84744426,9599717.402372638,9594783.31599567,9593309.112891966,9595062.215140736,9637178.050856445,9681175.652584143,9726937.97239083,9774361.551500415,9823354.667985445
All_0.75,E. Europe+Russia,1507440.1985133437,1511657.1715160278,1504494.8584951607,1498287.7049819778,1492955.4491312976,1488427.1899768885,1484640.0687735695,1488558.2912058262,1492807.5243446555,1497369.5037919842,1502227.7208999128,1507367.2231544524,1513204.5276213395,1519374.8555715794,1525856.3016678046,1532629.506667928,1539677.3079361063,1550422.4398724195,1561286.9923490118,1572268.8299547222,1583366.1136584815,1594577.2635110335,1602298.535862775,1610300.0628125158,1618565.3224171756,1627079.7230213047,1635830.3402494255
All_1.0,Asia,14021785.64034378,14283995.93662105,14518554.59570916,14750672.172937864,14980735.53287684,15209088.797405357,15436039.394515034,15570230.782273484,15706559.112135518,15844991.551157255,15985499.848896747,16128059.83341567,16293912.272047324,16461192.138191171,16629933.03622465,16800166.771695763,16971923.622666437,17100520.553896975,17232296.34216066,17367136.321188323,17504939.680742875,17645617.714137405,17741217.369678844,17841824.960843857,17947154.08970853,18056952.397425674,18170996.93679535
All_1.0,Latin America,1583568.1885069385,1613029.5652426642,1640689.3407452174,1668024.0068524103,1695082.0117564346,1721906.428863209,1748535.7171375987,1780307.1391403407,1811833.14276876,1843149.666335598,1874289.5291077704,1905282.7895654975,1941583.734542105,1977375.8330674286,2012726.9230799696,2047697.466691713,2082341.567987239,2129420.1482191514,2175760.971138066,2221450.1655030153,2266565.1426607003,2311175.716736194,2349762.6188011263,2387959.8885053075,2425828.027975153,2463421.081475504,2500787.521623081
All_1.0,Mideast+Africa,2136131.1554832133,2191386.4498347864,2226895.468494223,2262050.065586414,2296907.6588622546,2331519.3312086817,2365930.727249752,2429216.503837773,2491573.1295676054,2553097.805453408,2613879.056106158,2673997.7232189737,2759608.977161488,2843100.524905569,2924700.081802758,3004610.149740893,3083011.4907133435,3218016.571279878,3349576.4579951037,3478027.7123614163,3603672.2552314643,3726781.8109711194,3865426.21575983,4000376.8095467035,4132018.523942086,4260693.871423334,4386708.749715459
